AUFO_Start_Date;AUFO_Start_Second;AUFO_End_Second;AUFO_GRP_Forecast
20080101;0;14399;1,06E-06
20080101;14400;17999;0,0193079
20080101;18000;21599;0,03251444
20080101;21600;25199;0,0239242
20080101;25200;28799;0,02521422
20080101;28800;32399;0,03903874
20080101;32400;35999;0,05203858
20080101;36000;39599;0,04442778
20080101;39600;43199;0,03655728
20080101;43200;46799;0,00559468
20080101;46800;50399;0,01836874
20080101;50400;53999;0,02380124
20080101;54000;57599;0,01508168
20080101;57600;61199;0,05280496
20080101;61200;64799;0,05206932
20080101;64800;68399;0,0781591
20080101;68400;71999;0,3021901
20080101;72000;75599;0,11851542
20080101;75600;79199;0,1129218
20080101;79200;82799;0,15584438
20080101;82800;86399;0,0347574
20080102;0;14399;1,06E-06
20080102;14400;17999;0,01462694
20080102;18000;21599;0,0481558
20080102;21600;25199;0,05136018
20080102;25200;28799;0,03353734
20080102;28800;32399;0,04728342
20080102;32400;35999;0,03448816
20080102;36000;39599;0,02250804
20080102;39600;43199;0,06059278
20080102;43200;46799;0,0398136
20080102;46800;50399;0,03351296
20080102;50400;53999;0,03286106
20080102;54000;57599;0,07853434
20080102;57600;61199;0,03266178
20080102;61200;64799;0,05302438
20080102;64800;68399;0,12935816
20080102;68400;71999;0,30210212
20080102;72000;75599;0,2355797
20080102;75600;79199;0,17530704
20080102;79200;82799;0,09106142
20080102;82800;86399;0,0603564
20080103;0;3599;0,05778696
20080103;3600;14399;1,06E-06
20080103;14400;17999;0,00465976
20080103;18000;21599;0,03834444
20080103;21600;25199;0,03900482
20080103;25200;28799;0,03939808
20080103;28800;32399;0,05187852
20080103;32400;35999;0,03724522
20080103;36000;39599;0,02205648
20080103;39600;43199;0,01723772
20080103;43200;46799;0,03065626
20080103;46800;50399;0,03425284
20080103;50400;53999;0,05056942
20080103;54000;57599;0,03537962
20080103;57600;61199;0,06220398
20080103;61200;64799;0,06321734
20080103;64800;68399;0,3845733
20080103;68400;71999;0,58186368
20080103;72000;75599;0,56218478
20080103;75600;79199;0,47352956
20080103;79200;82799;0,3397035
20080103;82800;86399;0,21183994
20080104;0;3599;0,0235108
20080104;3600;14399;1,06E-06
20080104;14400;17999;0,02356804
20080104;18000;21599;0,02528948
20080104;21600;25199;0,0285511
